postcode,rank
3220,1
3000,2
3053,3
3350,4
3006,5
3550,6
3003,7
3218,8
3008,9
3219,10
3205,11
3051,12
3054,13
3066,14
3356,15
3355,16
3121,17
3004,18
3068,19
3067,20
3141,21
3052,22
3216,23
3207,24
3358,25
3206,26
3215,27
3556,28
3142,29
3181,30
3056,31
3352,32
3224,33
3555,34
3182,35
3031,36
3070,37
3055,38
3122,39
3217,40
3214,41
3143,42
3101,43
3183,44
3013,45
3551,46
3071,47
3123,48
3357,49
3011,50
3144,51
3102,52
3146,53
3078,54
3039,55
3032,56
3058,57
3015,58
3184,59
3161,60
3072,61
3044,62
3124,63
3012,64
3104,65
3363,66
3515,67
3025,68
3145,69
3105,70
3185,71
3040,72
3079,73
3162,74
3103,75
3147,76
3016,77
3041,78
3222,79
3163,80
3148,81
3107,82
3046,83
3073,84
3108,85
3129,86
3060,87
3084,88
3127,89
3186,90
3168,91
3042,92
3212,93
3081,94
3166,95
3125,96
3034,97
3149,98
3018,99
3033,100
3128,101
3020,102
3204,103
3187,104
3109,105
3022,106
3026,107
3028,108
3027,109
3111,110
3150,111
3331,112
3074,113
3165,114
3085,115
3043,116
3036,117
3170,118
3225,119
3083,120
3151,121
3228,122
3130,123
3370,124
3342,125
3075,126
3061,127
3047,128
3049,129
3188,130
3093,131
3087,132
3169,133
3134,134
3021,135
3038,136
3175,137
3191,138
3174,139
3223,140
3133,141
3131,142
3094,143
3177,144
3135,145
3171,146
3023,147
3029,148
3048,149
3241,150
3803,151
3030,152
3173,153
3178,154
3082,155
3152,156
3373,157
3037,158
3095,159
3153,160
3180,161
3192,162
3193,163
3059,164
3336,165
3976,166
3202,167
3804,168
3172,169
3975,170
3136,171
3113,172
3523,173
3463,174
3155,175
3460,176
3427,177
3156,178
3806,179
3337,180
3752,181
3194,182
3451,183
3064,184
3338,185
3137,186
3089,187
3805,188
3197,189
3115,190
3195,191
3138,192
3807,193
3154,194
3461,195
3024,196
3977,197
3116,198
3230,199
3196,200
3765,201
3199,202
3910,203
3809,204
3911,205
3754,206
3158,207
3978,208
3160,209
3437,210
3753,211
3099,212
3810,213
3912,214
3796,215
3444,216
3756,217
3913,218
3340,219
3812,220
3770,221
3431,222
3467,223
3782,224
3930,225
3458,226
3915,227
3980,228
3931,229
3981,230
3814,231
3775,232
3934,233
3918,234
3793,235
3781,236
3250,237
3936,238
3764,239
3139,240
3377,241
3816,242
3926,243
3434,244
3927,245
3783,246
3232,247
3777,248
3564,249
3608,250
3818,251
3929,252
3435,253
3797,254
3620,255
3478,256
3984,257
3831,258
3660,259
3621,260
3260,261
3823,262
3380,263
3579,264
3272,265
3610,266
3664,267
3925,268
3992,269
3717,270
3264,271
3940,272
3825,273
3266,274
3630,275
3631,276
3953,277
3943,278
3944,279
3995,280
3942,281
3480,282
3922,283
3666,284
3941,285
3871,286
3844,287
3939,288
3869,289
3268,290
3714,291
3636,292
3960,293
3280,294
3390,295
3585,296
3270,297
3282,298
3956,299
3847,300
3713,301
3300,302
3641,303
3400,304
3401,305
3393,306
3284,307
3644,308
3722,309
3730,310
3850,311
3414,312
3971,313
3677,314
3860,315
3851,316
3723,317
3304,318
3683,319
3687,320
3418,321
3747,322
3737,323
3305,324
3690,325
3875,326
3749,327
3318,328
3740,329
3880,330
3691,331
3741,332
3885,333
3909,334
3498,335
3888,336
3500,337
3501,338
3505,339
